candidate_id,energy_proxy_eu_h,energy_avt_T6,energy_avt_F12,energy_hdt_W4,energy_hdt_T12,energy_hdt_F25
247,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
248,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
249,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
250,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
251,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
252,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
253,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
254,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
255,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
256,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
257,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
258,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
259,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
260,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
261,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
262,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
263,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
264,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
265,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
266,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
267,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
268,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
269,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
270,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
271,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
272,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
273,84.15294514216514,0.0,-5.9857282387062005,0.0,0.0396151418627805,-9.900941760991444
274,87.3320019195312,0.0,-5.9857282387062005,0.0,0.0396151418627805,-6.721884983625387
275,90.63231583986169,0.0,-5.9857282387062005,0.0,0.0396151418627805,-3.4215710632948984
276,94.05388690315658,0.0,-5.9857282387062005,0.0,0.0396151418627805,0.0
277,97.59671510941591,0.0,-5.9857282387062005,0.0,0.0396151418627805,3.5428282062593297
278,101.26080045863964,0.0,-5.9857282387062005,0.0,0.0396151418627805,7.206913555483052
279,105.0461429508278,0.0,-5.9857282387062005,0.0,0.0396151418627805,10.992256047671212
280,84.19256028402792,0.0,-5.9857282387062005,0.0,0.079230283725561,-9.900941760991444
281,87.37161706139398,0.0,-5.9857282387062005,0.0,0.079230283725561,-6.721884983625387
282,90.67193098172447,0.0,-5.9857282387062005,0.0,0.079230283725561,-3.4215710632948984
283,94.09350204501936,0.0,-5.9857282387062005,0.0,0.079230283725561,0.0
284,97.6363302512787,0.0,-5.9857282387062005,0.0,0.079230283725561,3.5428282062593297
285,101.30041560050242,0.0,-5.9857282387062005,0.0,0.079230283725561,7.206913555483052
286,105.08575809269058,0.0,-5.9857282387062005,0.0,0.079230283725561,10.992256047671212
287,84.2321754258907,0.0,-5.9857282387062005,0.0,0.11884542558834149,-9.900941760991444
288,87.41123220325676,0.0,-5.9857282387062005,0.0,0.11884542558834149,-6.721884983625387
289,90.71154612358725,0.0,-5.9857282387062005,0.0,0.11884542558834149,-3.4215710632948984
290,94.13311718688215,0.0,-5.9857282387062005,0.0,0.11884542558834149,0.0
291,97.67594539314148,0.0,-5.9857282387062005,0.0,0.11884542558834149,3.5428282062593297
